region;baron_first_blue;champion_first_blue;dragon_first_blue;inhibitor_first_blue;herald_first_blue;tower_first_blue;baron_first_red;champion_first_red;dragon_first_red;inhibitor_first_red;herald_first_red;tower_first_red;dif_kills;dif_barons;dif_dragons;dif_inhibitor;dif_herald;dif_tower;dif_dmg_dealt_to_buildings;dif_dmg_dealt_to_objectives;dif_dmg_dealt_to_turrets;dif_dmg_self_mitigated;dif_gold_earned;dif_gold_spent;dif_magic_dmg_dealt;dif_physical_dmg_dealt;dif_true_dmg_dealt;dif_total_minions_killed;dif_neutral_minions_killed;dif_total_heal;dif_vision_score;win_blue
KR;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-3.0;2.0;1.0;1.0;2.0;4.0;3689.0;47241.0;3689.0;-27827.0;7655.0;4450.0;833.0;57756.0;-6489.0;4.0;25.0;7193.0;102.0;1.0
KR;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;-8.0;-1.0;-3.0;-1.0;0.0;-2.0;-4814.0;-69568.0;-4814.0;-1630.0;-15416.0;-10670.0;43740.0;-9712.0;-178222.0;-82.0;-12.0;-33778.0;34.0;0.0
KR;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;7.0;-1.0;0.0;1.0;2.0;7.0;14033.0;9617.0;14033.0;-35083.0;10586.0;6055.0;-29657.0;186035.0;15690.0;139.0;37.0;-16263.0;22.0;1.0
KR;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;9.0;-2.0;2.0;-1.0;2.0;3.0;40896.0;139716.0;40896.0;-64992.0;9822.0;2460.0;-176256.0;-151854.0;374082.0;78.0;42.0;39270.0;-318.0;1.0
KR;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;18.0;1.0;-2.0;1.0;2.0;4.0;6751.0;14838.0;6751.0;-8644.0;9732.0;6430.0;60884.0;-112574.0;13269.0;13.0;-13.0;14000.0;-16.0;1.0
KR;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-26.0;-1.0;-3.0;-1.0;-2.0;-7.0;-18954.0;-86928.0;-18954.0;-56762.0;-29878.0;-24200.0;-177690.0;34458.0;-84144.0;36.0;-58.0;-10500.0;40.0;0.0
KR;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;12.0;2.0;3.0;1.0;0.0;5.0;9388.0;48995.0;9388.0;21463.0;8238.0;2390.0;158794.0;-112658.0;31787.0;-43.0;-7.0;28357.0;7.0;1.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;-12.0;-1.0;0.0;-1.0;-2.0;-8.0;-66895.0;-151665.0;-66895.0;-85470.0;-56590.0;-24635.0;-66075.0;-201030.0;-4770.0;5.0;-70.0;-75680.0;-95.0;0.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-17.0;0.0;-1.0;0.0;-2.0;-3.0;-6574.0;-34129.0;-6574.0;13012.0;-9882.0;-7595.0;70639.0;-115429.0;-42968.0;-64.0;6.0;-3426.0;0.0;0.0
KR;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;21.0;1.0;3.0;2.0;0.0;1.0;10006.0;85848.0;10006.0;-29458.0;18774.0;7900.0;-33158.0;82162.0;-60842.0;-32.0;-2.0;22900.0;-22.0;1.0
KR;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;14.0;1.0;2.0;1.0;-2.0;5.0;9166.0;18749.0;9166.0;-13463.0;9626.0;6020.0;60029.0;-43087.0;42640.0;17.0;9.0;11073.0;39.0;1.0
KR;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;11.0;1.0;4.0;2.0;2.0;6.0;14607.0;69205.0;14607.0;44583.0;6096.0;4720.0;-77249.0;78988.0;102486.0;-4.0;31.0;13870.0;-21.0;1.0
