summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,leagueId,queue,name
x1dhDvCrDJfiuqBMQRL2L46OO4Wfz1l7vhP0H-cx-Gc968A,Dragdar,1001,I,188,159,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
oOoDnEVQ8dmWFQHsl7-i6ifXNTWP5NvSOdKyDRO7BgBZVUfD,Twittira,999,I,308,259,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
uLTLkxqlvLg4qM9eylskYcsLWEauBlyHGZzo3y6I33ZuDjg,DzuUwU,1639,I,201,132,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
NnEV0dbFao5-SlcKcCedDemPc-bQpfwfvq7_STNBmyHPi8kr,Carrry,1010,I,220,183,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
oyVHujZ4EUQl5qdk-B0A4wRYYUG4UHDN2kH4we2tarNBvUq9HwjjhRQvsg,AgnwstosPente,1006,I,239,197,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
AtiSJ8rvzCHo8nwvtrL4QhestD0lMHDt4BwWlvXcqG-caSYt,Sebekx,1240,I,173,132,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
VPtesJCx-G1TkrD-AtCzL7z-Oa02t4PmuTZVMzq5B5RKv-8,TTV KERBEROS LOL,1020,I,294,262,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
W_5qnRMMXcgwGykKPCrSIBL-Q4q_XnrB3uu6CDNn5rc4wdrcVbH_VC3RUg,ScriptIess,1011,I,266,234,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
xkqEybeCaukYyevQ7DsW4cvKrhLl3JPdUiNjlE1xxZXQKVee4_CXi6Ex4A,Photon1,1239,I,185,135,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
yvL3pbfkGTDOMj6MSkXBzhsPcoI5XL24Bp5TiaCCz_zqTT0,Calmsky,1038,I,128,95,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Jt8bNSFCEBUy8iRFWLS_9JWTqu0SteVXSXS4_7zyj7KsCFs,Kongenvenderhjem,1076,I,122,86,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
tqpfB_TsHlEtjHnH9sT19bt5ZCCLCWJA8RArDZcziFRBXPc,Kasing 1,1057,I,104,74,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
KYyW06ALhWzesLXxZFMG0EMFKraHdPnNyq0NpaKweYdsz1I,EL RONRONS,1314,I,219,167,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
aRfrPDdluSn7R-wJ2RVBVksZwopbjUBscJg3N0jrIuUSXb_9hyTEDTTo0A,4321455213123,1552,I,177,109,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ea4OGkog0EYmA0yr162HEQJh70lDzxNCH-kx12idhOFm3Po,eYa Bewbiou,1034,I,224,189,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
O6_xWySQ0hYxhkkha2tIaVfbsmFXfleF2M29u1Go8hNEzMk,5th6th,1001,I,254,226,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
SOISzFkF_3WxMD7Uam414gcVRF5aHWLRxYFmAyoAl07h0ulx9VgfTU0TMA,HidoAD,960,I,218,182,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
OPxwtwEG8L24R2QBSbdMx3YA9XK1ulowstkwU1n4tP-hTIg2,Drugdar,1008,I,167,139,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
l5SB1u01KuY2mcqviYlM1pT6MhdteA84Cdds8cAkHHgZHr4,d7zhj21e2312djip,1051,I,391,325,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
J8uyohK6USsWFj0PEH5vyOg_GPVsFEWRH5bWYZTyS617gzpsNHn1akR2jQ,Wufo9,986,I,258,222,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
w1DuS7rTiGv-xLt8rJK6fsUSHBC327kyq9WT2xxB15kxpLDhqQY3QAyx2Q,zyb,1353,I,184,149,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
3Mv7AXcfo9m3YMhAyTsZf1vaYiSHlEDaozaGp2Eq_R5Ol934Ber-VIAqEw,Badlulu00,1166,I,178,142,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
byWPTQYn6dPV1VBDBY9LQ9oObHk0z50P6p_tM1SfTe_ZJYs,RKRKZN,1139,I,315,276,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
mY80VKI2X-k9kegatbPP7URiJp1aGKpf1UWhn6ctQnEH9PSS,SWE131,973,I,111,86,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
